返:		0		1		-1		38.135132		38.135132
返还:		0		2		-1		16.690418		16.690418
还:		1		1		0		38.135132		76.270264
税:		2		1		1		38.135132		54.825550
税收:		2		2		1		14.343936		31.034355
收:		3		1		3		38.135132		92.960678
等:		4		1		4		38.135132		69.169487
措:		5		1		6		38.135132		107.304619
措施:		5		2		6		12.521972		81.691460
施:		6		1		7		38.135132		145.439758
重:		7		1		8		38.135132		119.826591
重点:		7		2		8		11.973221		93.664680
点:		8		1		10		38.135132		157.961731
鼓:		9		1		11		38.135132		131.799805
鼓励:		9		2		11		13.254552		106.919235
励:		10		1		13		38.135132		169.934937
谁:		11		1		14		38.135132		145.054367
